date,value
6/1/2005,971040
6/2/2005,971953
6/3/2005,972018
6/4/2005,979783
6/5/2005,979783
6/6/2005,985826
6/7/2005,979299
6/8/2005,973986
6/9/2005,973803
6/10/2005,973803
6/11/2005,969965
6/12/2005,967666
6/13/2005,965870
6/14/2005,965870
6/15/2005,967194
6/16/2005,967244
6/17/2005,970826
6/18/2005,969378
6/19/2005,965070
6/20/2005,969202
6/21/2005,969202
6/22/2005,973852
6/23/2005,974100
6/24/2005,977186
6/25/2005,977953
6/26/2005,978561
6/27/2005,977734
6/28/2005,977020
6/29/2005,966467
6/30/2005,966467
7/1/2005,959855
7/2/2005,959855
7/3/2005,-32000
7/4/2005,-32000
7/5/2005,-32000
7/6/2005,-32000
7/7/2005,-32000
7/8/2005,-32000
7/9/2005,-32000
7/10/2005,-32000
7/11/2005,-32000
7/12/2005,-32000
7/13/2005,943149
7/14/2005,943149
7/15/2005,943149
7/16/2005,943149
7/17/2005,-32000
7/18/2005,-32000
7/19/2005,-32000
7/20/2005,-32000
7/21/2005,-32000
7/22/2005,-32000
7/23/2005,-32000
7/24/2005,980056
7/25/2005,980056
7/26/2005,982418
7/27/2005,982588
7/28/2005,983353
7/29/2005,983353
7/30/2005,980803
7/31/2005,-32000
8/1/2005,-32000
8/2/2005,943666
8/3/2005,955741
8/4/2005,955741
8/5/2005,960555
8/6/2005,969169
8/7/2005,969516
8/8/2005,969516
8/9/2005,970040
8/10/2005,961802
8/11/2005,963589
8/12/2005,964671
8/13/2005,961432
8/14/2005,975088
8/15/2005,974855
8/16/2005,962648
8/17/2005,962648
8/18/2005,955698
8/19/2005,944772
8/20/2005,943868
8/21/2005,950371
8/22/2005,941614
8/23/2005,966828
8/24/2005,966828
8/25/2005,959430
8/26/2005,962419
8/27/2005,957107
8/28/2005,955243
8/29/2005,951889
8/30/2005,945487
8/31/2005,937180
9/1/2005,942191
9/2/2005,942191
9/3/2005,957704
9/4/2005,956433
9/5/2005,957285
9/6/2005,962224
9/7/2005,961235
9/8/2005,962145
9/9/2005,962145
9/10/2005,952740
9/11/2005,960323
9/12/2005,969007
9/13/2005,972687
9/14/2005,976370
9/15/2005,979599
9/16/2005,980751
9/17/2005,977925
9/18/2005,977925
9/19/2005,975083
9/20/2005,972622
9/21/2005,972470
9/22/2005,963734
9/23/2005,957278
9/24/2005,949614
9/25/2005,949614
9/26/2005,925753
9/27/2005,922091
9/28/2005,922419
9/29/2005,940159
9/30/2005,951217
10/1/2005,962867
10/2/2005,965470
10/3/2005,963998
10/4/2005,963998
10/5/2005,971758
10/6/2005,967406
10/7/2005,966437
10/8/2005,966403
10/9/2005,962670
10/10/2005,973148
10/11/2005,973148
10/12/2005,966609
10/13/2005,970838
10/14/2005,970760
10/15/2005,973232
10/16/2005,978565
10/17/2005,978681
